Squad,Rk,W,D,L,Pts,Pts.MP,Poss,Gls,CrdY,CrdR,xG,PrgC,PrgP
Arsenal,2,20,5,4,65,2.24,60.3,67,45,2,57.3,639,1658
Aston Villa,4,18,5,7,59,1.97,54.9,59,79,2,52.7,648,1235
Bournemouth,13,10,8,11,38,1.31,45.0,42,58,2,43.9,541,1034
Brentford,15,7,6,17,27,0.9,44.6,41,72,2,48.3,377,1026
Brighton,9,11,9,9,42,1.45,61.7,47,73,3,45.9,654,1437
Burnley,19,4,6,20,18,0.6,46.1,30,64,6,30.0,530,885
Chelsea,11,11,7,10,40,1.43,58.5,48,88,3,54.3,636,1215
Crystal Palace,14,7,9,13,30,1.03,41.8,34,55,1,34.3,373,858
Everton,16,8,7,14,25,0.86,40.6,30,61,1,43.4,390,885
Fulham,12,11,6,13,39,1.3,50.5,45,70,3,40.5,514,1151
Liverpool,1,20,7,2,67,2.31,60.0,63,58,5,65.3,692,1524
Luton Town,18,5,7,18,22,0.73,41.9,40,59,0,35.8,545,864
Manchester City,3,19,7,3,64,2.21,65.3,62,47,2,57.6,884,1559
Manchester Utd,6,15,3,11,48,1.66,50.5,40,69,1,43.8,571,1147
Newcastle Utd,8,13,4,12,43,1.48,53.1,62,62,1,55.2,540,1190
Nott'ham Forest,17,6,8,16,22,0.73,40.8,36,70,3,37.4,455,885
Sheffield Utd,20,3,6,20,15,0.52,35.4,24,87,4,27.0,243,628
Tottenham,5,17,5,7,56,1.93,60.9,57,69,4,52.3,732,1591
West Ham,7,12,8,10,44,1.47,41.4,48,71,3,42.4,447,955
Wolves,10,12,5,12,41,1.41,48.0,39,74,3,39.1,548,940
